source,title,link,published,summary,fetched_at
BBC News,Asylum seekers will be banned from taking taxis for medical appointments,https://www.bbc.com/news/articles/cgjn2y4eed5o?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 13:27:54 GMT",The ban is set to come in February and any exemptions will have to be signed off by the Home Office.,2025-11-29T13:55:17.122231
BBC News,Why the rich and powerful couldn't say no to Epstein,https://www.bbc.com/news/articles/cy7v6xl4me8o?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 00:12:14 GMT",The late sex offender maintained contact with wealthy and influential people even after his first conviction.,2025-11-29T13:55:17.122231
BBC News,Fall of Zelensky's top aide - reboot for Kyiv or costly shake-up?,https://www.bbc.com/news/articles/cz0nljm4y74o?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 11:29:35 GMT","A widening corruption scandal forced Ukraine's second most powerful person, Andriy Yermak, to resign.",2025-11-29T13:55:17.122231
BBC News,No 10 denies Reeves misled public in run-up to Budget,https://www.bbc.com/news/articles/c4gex225p5jo?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 04:40:57 GMT","The Conservatives say she was overly gloomy about the public finances as a ""smokescreen"" to raise tax.",2025-11-29T13:55:17.122231
BBC News,Flights returning to normal after Airbus warning grounded planes,https://www.bbc.com/news/articles/c4gp9d28p74o?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 12:37:29 GMT","Around 6,000 planes were affected after an issue that could corrupt data was discovered.",2025-11-29T13:55:17.122231
BBC News,"Russian strikes cause power outages for more than 600,000 in Ukraine",https://www.bbc.com/news/articles/cx2gylngx7go?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 12:32:03 GMT",The overnight attack kills at least three and injures dozens more.,2025-11-29T13:55:17.122231
BBC News,Text scammers make tens of thousands a month - and spend it on designer shoes and bags,https://www.bbc.com/news/articles/cg4nzp6ezg7o?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 05:01:03 GMT",The tactics and spoils of smishing - scam texts that trick people into disclosing data - are revealed.,2025-11-29T13:55:17.122231
BBC News,"No, your favourite influencer hasn't got a dozen dachshund dogs. It's just AI",https://www.bbc.com/news/articles/c7vm5d42r8mo?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 00:03:40 GMT",There’s a new social media trend taking over - influencers are using AI to add animals to their photos.,2025-11-29T13:55:17.122231
BBC News,We searched for a true Christmas market - and may have found one,https://www.bbc.com/news/articles/clyzdxyjx2eo?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 00:03:22 GMT",We visited festive markets in the UK and Germany to check which come closest to the real deal.,2025-11-29T13:55:17.122231
BBC News,"Trump said he’d stay out of Sudan’s war, but now he’s changed his mind",https://www.bbc.com/news/articles/c1dz36ep673o?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 01:28:21 GMT",The war is being fuelled by regional powers and the US president may have some leverage over them.,2025-11-29T13:55:17.122231
BBC News,US halts all asylum claim decisions after National Guard shooting,https://www.bbc.com/news/articles/cdxweyy157go?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 07:14:36 GMT","The directive comes hours after Donald Trump said the US will pause migration from ""third-world countries"".",2025-11-29T13:55:17.122231
BBC News,BBC Sport presenter reveals prostate cancer diagnosis,https://www.bbc.com/news/articles/cly3eq5r0wko?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 13:49:49 GMT","Announcing the news on air during Off the Ball, Kenny Macintyre said he pushed for three-monthly tests due to his family history.",2025-11-29T13:55:17.122231
BBC News,England's Wood set to miss second Ashes Test,https://www.bbc.com/sport/cricket/articles/c3e01y9gnqjo?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 10:00:04 GMT",England fast bowler Mark Wood is set to miss the crucial second Ashes Test in Brisbane because of concerns over his left knee.,2025-11-29T13:55:17.122231
BBC News,The village church that hosted a Hollywood whodunnit,https://www.bbc.com/news/articles/cwyn5e641yjo?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 00:06:13 GMT",The church's vicar was amused to be mistaken for an extra by star Mila Kunis during filming.,2025-11-29T13:55:17.122231
BBC News,Trump to pardon ex-Honduras president convicted of drug trafficking,https://www.bbc.com/news/articles/c1kpm0rvxepo?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 07:28:01 GMT",Juan Orlando Hernández was sentenced in the US to 45 years behind bars for conspiring to smuggle cocaine.,2025-11-29T13:55:17.122231
BBC News,Australian prime minister becomes first to wed in office,https://www.bbc.com/news/articles/ce865kpdzz8o?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 11:02:47 GMT","Anthony Albanese weds Jodie Haydon, after the couple became engaged on Valentine's Day last year.",2025-11-29T13:55:17.122231
BBC News,Going viral doesn't mean you're earning millions,https://www.bbc.com/news/articles/cx272dj04rno?at_medium=RSS&at_campaign=rss,"Sat, 29 Nov 2025 07:23:43 GMT","Women in business can't complain about how little they make for fear of looking greedy, an academic says.",2025-11-29T13:55:17.122231
BBC News,At 15 my best friend promised she'd have my baby. Now I'm a mum,https://www.bbc.com/news/articles/cz7nqwrw4djo?at_medium=RSS&at_campaign=rss,"Fri, 28 Nov 2025 13:45:59 GMT",Georgia and Daisy's childhood closeness later become the foundation for a life-changing act of generosity.,2025-11-29T13:55:17.122231
BBC News,Adolescence lasts into 30s - new study shows four pivotal ages for your brain,https://www.bbc.com/news/articles/cgl6klez226o?at_medium=RSS&at_campaign=rss,"Tue, 25 Nov 2025 10:11:12 GMT",Brain scans on thousands of people reveal the dramatic shifts the brain goes through between birth and death.,2025-11-29T13:55:17.122231
BBC News,Ten-year-old British chess prodigy dazzles at women's event,https://www.bbc.com/news/articles/crk7dkye0z6o?at_medium=RSS&at_campaign=rss,"Mon, 24 Nov 2025 17:08:30 GMT","Bodhana Sivanandan wins the UK Women’s Blitz Championship, putting her in the top 50 women in the world in the category.",2025-11-29T13:55:17.122231
BBC News,'They told me to choose between my hijab and boxing',https://www.bbc.com/sport/boxing/articles/ce3kdxx0gq0o?at_medium=RSS&at_campaign=rss,"Wed, 26 Nov 2025 08:11:53 GMT",How Germany's Zeina Nassar - who makes her pro debut on Wednesday - rewrote boxing's rules about fighting in a hijab.,2025-11-29T13:55:17.122231
BBC News,BBC News app,https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,"Wed, 30 Apr 2025 14:04:28 GMT","Top stories, breaking news, live reporting, and follow news topics that match your interests",2025-11-29T13:55:17.122231
BBC News,"The Week: Send Funding, Workers Rights And A Big Drop In Legal Migration",https://www.bbc.co.uk/sounds/play/p0mkbcd7?at_medium=RSS&at_campaign=rss,"Fri, 28 Nov 2025 11:00:00 GMT",How to pay for Send funding 'blackhole'?,2025-11-29T13:55:17.122231
BBC News,Shein: How the fast fashion disruptor ran into real world problems,https://www.bbc.co.uk/sounds/play/w3ct719n?at_medium=RSS&at_campaign=rss,"Thu, 27 Nov 2025 10:00:00 GMT","The inside story of Shein’s success, and the challenges it faces in its bid to go public",2025-11-29T13:55:17.122231
